#cluster size degeneracy contacts threshold density metric
0 15 0 1.11 1.7500 1.0 -
1 3 0 1.00 2.5000 1.0 -
2 2 0 0.83 2.5000 1.0 -
3 3 0 0.61 2.5000 1.0 -
4 2 0 1.00 2.5000 1.0 -
5 3 0 1.00 2.5000 1.0 -
6 2 0 1.00 2.5000 1.0 -
7 3 0 0.89 2.5000 1.0 -
8 1 0 0.94 2.5000 1.0 -
9 1 0 0.83 2.5000 1.0 -
10 2 0 1.17 1.7500 1.0 -
11 2 0 1.11 1.7500 1.0 -
12 1 1 1.06 1.7500 1.0 -
13 5 0 1.00 2.5000 1.0 -
14 3 0 1.22 1.7500 1.0 -
15 5 0 1.00 2.5000 1.0 -
16 2 0 1.11 1.7500 1.0 -
17 10 0 0.89 2.5000 1.0 -
18 2 0 1.00 2.5000 1.0 -
19 2 0 0.67 2.5000 1.0 -
20 3 0 0.72 2.5000 1.0 -
21 3 0 0.72 2.5000 1.0 -
22 2 0 1.11 1.7500 1.0 -
23 2 0 1.22 1.7500 1.0 -
24 2 0 1.33 1.7500 1.0 -
25 5 0 0.78 2.5000 1.0 -
26 4 0 0.89 2.5000 1.0 -
27 3 0 0.67 2.5000 1.0 -
28 2 0 1.11 1.7500 1.0 -
29 3 0 0.83 2.5000 1.0 -
30 6 0 0.89 2.5000 1.0 -
31 4 0 1.00 2.5000 1.0 -
32 2 0 1.11 1.7500 1.0 -
33 3 0 1.17 1.7500 1.0 -
34 4 0 0.83 2.5000 1.0 -
35 3 0 0.94 2.5000 1.0 -
36 3 0 1.11 1.7500 1.0 -
37 2 0 1.11 1.7500 1.0 -
38 2 0 1.00 2.5000 1.0 -
39 2 0 1.17 1.7500 1.0 -
40 3 0 0.83 2.5000 1.0 -
41 3 0 0.67 2.5000 1.0 -
42 2 0 1.11 1.7500 1.0 -
43 2 0 0.89 2.5000 1.0 -
44 6 0 0.83 2.5000 1.0 -
45 4 0 0.78 2.5000 1.0 -
46 2 0 1.11 1.7500 1.0 -
47 3 0 1.06 1.7500 1.0 -
48 4 0 0.94 2.5000 1.0 -
49 2 0 0.78 2.5000 1.0 -
50 3 0 0.94 2.5000 1.0 -
51 4 0 0.67 2.5000 1.0 -
52 3 0 0.83 2.5000 1.0 -
53 2 0 1.11 1.7500 1.0 -
54 3 0 0.67 2.5000 1.0 -
55 3 0 1.00 2.5000 1.0 -
56 5 0 0.89 2.5000 1.0 -
57 2 0 1.06 1.7500 1.0 -
58 3 0 1.00 2.5000 1.0 -
59 5 0 0.67 2.5000 1.0 -
60 2 0 1.11 1.7500 1.0 -
61 2 0 0.89 2.5000 1.0 -
62 3 0 0.83 2.5000 1.0 -
63 3 0 0.83 2.5000 1.0 -
64 2 0 1.06 1.7500 1.0 -
65 2 0 0.61 2.5000 1.0 -
66 3 0 0.61 2.5000 1.0 -
67 60 0 0.33 6.0000 1.0 -
68 2 0 0.67 2.5000 1.0 -
69 2 0 0.89 2.5000 1.0 -
70 2 0 1.00 2.5000 1.0 -
71 3 0 0.89 2.5000 1.0 -
72 2 0 1.00 2.5000 1.0 -
73 2 0 1.06 1.7500 1.0 -
74 2 0 0.72 2.5000 1.0 -
75 4 0 0.50 4.0000 1.0 -
76 2 0 0.67 2.5000 1.0 -
77 2 0 1.11 1.7500 1.0 -
78 2 0 0.89 2.5000 1.0 -
79 3 0 0.89 2.5000 1.0 -
80 2 0 0.94 2.5000 1.0 -
81 3 0 0.83 2.5000 1.0 -
82 3 0 0.78 2.5000 1.0 -
83 4 0 0.72 2.5000 1.0 -
84 2 0 0.94 2.5000 1.0 -
85 2 0 0.94 2.5000 1.0 -
86 3 0 0.94 2.5000 1.0 -
87 2 0 0.83 2.5000 1.0 -
88 2 0 0.72 2.5000 1.0 -
89 10 0 0.56 4.0000 1.0 -
90 2 0 0.89 2.5000 1.0 -
91 2 0 0.78 2.5000 1.0 -
92 2 0 1.28 1.7500 1.0 -
93 3 0 0.44 4.0000 1.0 -
94 2 0 0.89 2.5000 1.0 -
95 2 0 0.83 2.5000 1.0 -
96 3 0 0.78 2.5000 1.0 -
97 2 0 0.94 2.5000 1.0 -
98 1 1 0.67 2.5000 1.0 -
99 1 1 1.28 1.7500 1.0 -
100 1 1 0.94 2.5000 1.0 -
101 1 1 0.72 2.5000 1.0 -
102 1 1 0.94 2.5000 1.0 -
103 1 1 0.89 2.5000 1.0 -
104 1 1 0.78 2.5000 1.0 -
105 1 1 0.89 2.5000 1.0 -
106 1 1 0.78 2.5000 1.0 -
107 1 1 0.72 2.5000 1.0 -
108 1 1 1.00 2.5000 1.0 -
109 1 1 0.94 2.5000 1.0 -
110 1 0 0.83 2.5000 1.0 -
111 1 0 1.00 2.5000 1.0 -
112 2 0 0.94 2.5000 1.0 -
113 1 0 0.78 2.5000 1.0 -
114 1 0 0.78 2.5000 1.0 -
115 1 1 1.22 1.7500 1.0 -
116 1 1 0.44 4.0000 1.0 -
