Step,numberOfAcceptedPeleSteps,currentEnergy,bindingEnergy,ligandSASA,ligandRMSD,H38_OG-L1_C3,H38_OG-L1_C7,H38_OG-L1_C10,H38_HG-H175_ND1,H175_HE2-H40_OE2,H175_HE2-H40_OE1,epoch,trajectory,Cluster
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,-
1,1,-3322.85,-12.6586,0.473964,4.48776,8.142,4.09016,6.8909,5.75371,3.65172,1.49993,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
3,2,-3373.5,-9.43032,0.495867,5.08251,8.73922,5.3682,6.20869,6.75165,3.54481,1.48147,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,2
6,3,-3374.46,-12.4519,0.492539,4.18287,5.24348,9.35622,7.05514,6.75133,3.54159,1.48675,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,2
8,4,-3388.45,-13.1265,0.492918,5.04589,5.4854,8.93923,6.41199,6.76272,3.54611,1.48183,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,2
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,-
1,1,-3300.65,-22.9335,0.393437,3.08613,7.9653,6.11683,8.01501,2.92083,4.62554,3.35459,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,-
2,2,-3330.89,-10.6256,0.371569,4.24095,9.18638,4.54924,9.27171,2.282,5.05586,3.09334,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,3
3,3,-3335.69,-15.9016,0.334824,2.51146,6.91238,7.04063,7.66936,2.2127,4.43206,2.50209,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
4,4,-3367.78,-5.79048,0.446764,3.34841,7.4744,9.74642,6.72245,1.8986,4.19912,2.27048,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,2
