#cluster size degeneracy contacts threshold density metric
0 39 0 0.87 2.5000 1.0 -
1 48 0 0.53 4.0000 1.0 -
2 6 0 0.93 2.5000 1.0 -
3 9 0 1.00 2.5000 1.0 -
4 6 0 1.00 2.5000 1.0 -
5 10 0 0.93 2.5000 1.0 -
6 6 0 1.07 1.7500 1.0 -
7 45 0 0.47 4.0000 1.0 -
8 6 0 0.73 2.5000 1.0 -
9 9 0 0.67 2.5000 1.0 -
10 6 0 0.73 2.5000 1.0 -
11 13 0 0.80 2.5000 1.0 -
12 5 0 0.67 2.5000 1.0 -
13 11 0 1.07 1.7500 1.0 -
14 5 0 1.20 1.7500 1.0 -
15 5 0 1.07 1.7500 1.0 -
16 17 0 0.60 4.0000 1.0 -
17 7 0 0.67 2.5000 1.0 -
18 5 0 0.67 2.5000 1.0 -
19 24 0 0.53 4.0000 1.0 -
20 7 0 0.60 4.0000 1.0 -
21 14 0 0.33 6.0000 1.0 -
22 6 0 0.60 4.0000 1.0 -
23 10 0 0.93 2.5000 1.0 -
24 8 0 1.13 1.7500 1.0 -
25 5 0 1.07 1.7500 1.0 -
26 8 0 0.73 2.5000 1.0 -
27 5 0 1.07 1.7500 1.0 -
28 7 0 1.33 1.7500 1.0 -
29 5 0 1.13 1.7500 1.0 -
30 6 0 1.27 1.7500 1.0 -
31 9 0 0.80 2.5000 1.0 -
32 8 0 1.27 1.7500 1.0 -
33 5 0 1.27 1.7500 1.0 -
34 6 0 0.73 2.5000 1.0 -
35 12 0 0.47 4.0000 1.0 -
36 4 1 1.00 2.5000 1.0 -
37 5 0 1.20 1.7500 1.0 -
38 8 0 1.00 2.5000 1.0 -
39 6 0 1.20 1.7500 1.0 -
40 8 0 0.87 2.5000 1.0 -
41 4 1 1.27 1.7500 1.0 -
42 4 1 0.87 2.5000 1.0 -
43 9 0 1.00 2.5000 1.0 -
44 3 1 0.93 2.5000 1.0 -
45 3 1 1.20 1.7500 1.0 -
46 3 1 1.00 2.5000 1.0 -
47 3 1 1.27 1.7500 1.0 -
48 3 1 0.80 2.5000 1.0 -
49 2 1 0.80 2.5000 1.0 -
50 4 1 0.47 4.0000 1.0 -
51 5 0 0.60 4.0000 1.0 -
52 2 1 0.87 2.5000 1.0 -
53 2 1 1.27 1.7500 1.0 -
54 3 1 1.07 1.7500 1.0 -
55 2 1 1.13 1.7500 1.0 -
56 7 0 1.00 2.5000 1.0 -
57 3 1 1.00 2.5000 1.0 -
