Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,bindingEnergy min,bindingEnergy 5-percentile,bindingEnergy 25-percentile,bindingEnergy mean,bindingEnergy 75-percentile,bindingEnergy 95-percentile,bindingEnergy max,bindingEnergy standard deviation,ligandSASA min,ligandSASA 5-percentile,ligandSASA 25-percentile,ligandSASA mean,ligandSASA 75-percentile,ligandSASA 95-percentile,ligandSASA max,ligandSASA standard deviation,ligandRMSD min,ligandRMSD 5-percentile,ligandRMSD 25-percentile,ligandRMSD mean,ligandRMSD 75-percentile,ligandRMSD 95-percentile,ligandRMSD max,ligandRMSD standard deviation,L1_C8-H38_OG min,L1_C8-H38_OG 5-percentile,L1_C8-H38_OG 25-percentile,L1_C8-H38_OG mean,L1_C8-H38_OG 75-percentile,L1_C8-H38_OG 95-percentile,L1_C8-H38_OG max,L1_C8-H38_OG standard deviation,H38_HG-H175_ND1 min,H38_HG-H175_ND1 5-percentile,H38_HG-H175_ND1 25-percentile,H38_HG-H175_ND1 mean,H38_HG-H175_ND1 75-percentile,H38_HG-H175_ND1 95-percentile,H38_HG-H175_ND1 max,H38_HG-H175_ND1 standard deviation,H175_HE2-H40_OE2 min,H175_HE2-H40_OE2 5-percentile,H175_HE2-H40_OE2 25-percentile,H175_HE2-H40_OE2 mean,H175_HE2-H40_OE2 75-percentile,H175_HE2-H40_OE2 95-percentile,H175_HE2-H40_OE2 max,H175_HE2-H40_OE2 standard deviation,H175_HE2-H40_OE1 min,H175_HE2-H40_OE1 5-percentile,H175_HE2-H40_OE1 25-percentile,H175_HE2-H40_OE1 mean,H175_HE2-H40_OE1 75-percentile,H175_HE2-H40_OE1 95-percentile,H175_HE2-H40_OE1 max,H175_HE2-H40_OE1 standard deviation,Selected labels
0,0.12556732223903178,2.359337429394537,-3988.77,-3986.049,-3970.915,-3961.18156626506,-3954.3450000000003,-3928.996,-3907.51,16.22473728466664,-13.0213,-9.141625999999999,-5.852975000000001,-3.2022870957590364,-0.9998024999999999,4.081370999999995,6.95083,4.020763643597399,0.200408,0.2870587,0.3569175,0.41846772289156636,0.4878845,0.5470724,0.590594,0.08361772865360714,1.32367,2.0087390000000003,2.4839450000000003,2.981517469879518,3.37301,4.042619,4.57913,0.7011784650571232,5.87522,6.447264,7.076195,7.746903253012048,8.373280000000001,9.020825,9.69707,0.8571214925665664,1.92789,2.014665,4.197595,5.062287951807229,5.835355,6.3923,7.80133,1.3524698895597214,1.4218,1.6098810000000001,5.496930000000001,6.588938554216866,7.57776,11.019836999999988,12.7075,2.2887295658399043,1.52785,3.373433,5.201874999999999,5.977918554216868,6.959725000000001,9.782137999999998,11.3312,1.8933709485968884,-
5,0.046898638426626324,2.019518111793936,-3986.22,-3984.4700000000003,-3964.025,-3961.4258064516125,-3955.94,-3952.8050000000003,-3947.01,8.915930206456839,-9.61913,-9.00724,-5.9893149999999995,-2.8395993580645165,-0.266903,2.068295,5.44427,3.7856790648777157,0.30572,0.36013150000000005,0.43221,0.502777064516129,0.5657035,0.6223989999999999,0.704143,0.09158592196188638,2.94118,3.382205,3.949305,4.483524838709678,4.87928,5.76765,6.17531,0.7221083209507174,5.42186,5.563055,6.2555700000000005,6.774189677419352,7.304069999999999,7.87979,8.60213,0.7724421067793382,1.98784,2.52646,3.048765,3.7126887096774195,3.575475,6.116384999999999,6.18404,1.2297086291888661,1.60749,5.146940000000001,5.55017,6.638789999999999,7.63132,7.95031,7.969,1.373497656117873,3.68392,3.93354,4.476595,5.69080612903226,6.7185500000000005,7.18357,7.24392,1.1892833303233572,-
12,0.04084720121028744,2.114804772456546,-3993.87,-3991.242,-3980.005,-3974.034444444444,-3968.325,-3958.744,-3951.47,9.851560257450211,-20.7564,-18.817159999999998,-11.4372,-6.314883851851851,-1.7074364999999998,3.143763999999999,5.88377,6.718272044703848,0.125459,0.1842195,0.2331415,0.2940619259259259,0.34756549999999997,0.4530701,0.45359,0.08602440205952155,4.09181,4.248111,4.756935,5.0081266666666675,5.26658,5.63542,5.70101,0.4274609065252722,8.50615,8.972947,9.50502,9.991315925925926,10.46165,11.06582,12.2851,0.7535578159060071,1.90069,2.025421,3.0683100000000003,4.16094037037037,4.713015,6.0330259999999996,6.20447,1.2423498712534915,3.44429,3.47898,3.58301,5.8758477777777784,5.998685,13.00929,13.137,3.8012631573331994,1.49974,1.501619,1.537535,4.082428148148149,4.727040000000001,11.51217,11.7206,4.050661276658726,E
3,0.06202723146747353,2.0343214428279603,-3978.56,-3974.53,-3968.09,-3961.129024390244,-3953.78,-3927.22,-3921.51,13.070193385935305,-17.5083,-17.2074,-12.2915,-7.04533124390244,-2.53637,4.78676,6.03382,6.612670425159835,0.11463,0.214857,0.254674,0.3061652926829268,0.344083,0.432087,0.470953,0.07283917979281443,4.81185,5.02109,5.87957,6.175228048780488,6.52206,6.75489,7.42248,0.5649618124898377,4.68281,5.93835,6.78127,7.1275485365853655,7.75813,8.55037,8.617,0.8598740119812818,1.96753,3.01092,3.64466,4.430711951219513,5.41592,6.17756,6.32466,1.0729035312559831,3.40254,3.55426,5.05965,5.56756512195122,6.55146,7.70673,7.80953,1.2912460359708178,1.41762,1.51622,4.08241,4.766465121951219,5.75023,6.87677,7.08419,1.7143164834504343,-
1,0.06959152798789713,1.7860395359037824,-3987.26,-3978.5,-3972.1899999999996,-3964.4515217391304,-3956.585,-3945.285,-3935.88,11.21801423320922,-30.7939,-25.242425,-19.095225,-13.766745869565215,-8.2808125,-2.9605125,13.3032,8.425759536024703,0.150374,0.20812524999999998,0.24179024999999998,0.28763217391304347,0.3190685,0.416568,0.428837,0.06351802917293037,5.76897,6.06446,6.3963475,6.621719782608693,6.8182225,7.144185,7.29875,0.3440405726483631,3.68383,4.358522499999999,5.0086525,5.454618695652173,5.81746,6.6566125,7.34608,0.7390962278133097,1.92687,1.9556900000000002,2.20252,4.072269782608696,5.02643,6.47795,6.64821,1.514476406982451,3.16499,3.4123825,3.4961450000000003,3.9983939130434787,3.75615,5.8015575,7.7883,0.9275308480056494,1.45573,1.47798,1.562735,2.2823145652173915,2.1121625,5.8087225,7.01354,1.3961332307168135,A
8,0.046898638426626324,2.0460238353810225,-3981.39,-3971.51,-3968.325,-3966.2274193548387,-3963.245,-3961.015,-3959.38,4.231533671287294,-20.2374,-16.89515,-10.405055,-7.140539293548387,-3.8314250000000003,0.47543595000000005,1.30155,5.286362543398115,0.327823,0.3486945,0.40376199999999995,0.44605906451612903,0.493867,0.5532035,0.582529,0.06577921938499319,6.0605,6.1876,6.544639999999999,6.842727096774193,7.19302,7.45075,7.5454,0.41368847293580513,6.18385,6.4435,7.22677,7.928251935483871,8.67491,9.419625,9.54821,0.9513696789143242,2.95924,3.00218,3.0466699999999998,3.965837741935484,5.390795,6.054765,6.19262,1.2437036637935945,6.96834,6.986235,7.218585,7.515990322580645,7.75597,7.993005,8.25102,0.3395754235235323,5.53546,5.575835,5.65413,6.460853870967741,6.97865,7.292605,7.39794,0.6360833327414477,C
14,0.03328290468986384,2.272368976139976,-3987.89,-3982.121,-3978.935,-3969.943181818181,-3961.4375,-3938.6225,-3935.9,14.363134751022589,-12.466,-12.14508,-5.2045200000000005,-2.9535260000000005,1.4545344999999998,4.208086499999999,4.26656,5.222309260856611,0.364594,0.4619886,0.540118,0.572274590909091,0.62500075,0.6800642499999999,0.723698,0.07781324852120976,4.88935,4.9592045,5.597942499999999,5.839719545454546,6.206085,6.4007345,6.65652,0.47122726361816775,5.10255,5.5659335,6.138565,6.808766363636365,7.4857975,8.366859999999999,8.55208,0.9231690005014125,2.41544,2.4874285,2.8947925000000003,4.938906363636364,6.516062499999999,7.865825,7.86687,1.9180581322561756,3.49547,3.506623,6.491619999999999,8.359149090909092,11.624975000000001,12.37378,12.3913,2.9731151616656972,1.47779,1.5082875,6.26356,7.298940454545456,9.603940000000001,11.078765,11.129,2.8717949516610957,-
20,0.006051437216338881,2.10669828265382,-3966.43,-3966.037,-3964.465,-3962.8199999999997,-3960.7349999999997,-3960.219,-3960.09,2.498099277450688,-8.09878,-7.970083,-7.455295,-6.631422499999999,-5.7413125,-5.3854945,-5.29654,1.101900107867655,0.349996,0.37235484999999996,0.46179025,0.49167249999999996,0.5586377499999999,0.5590739499999999,0.559183,0.08535870699729466,4.41953,4.67429,5.6933300000000004,5.8812975000000005,6.3793725,6.6541545,6.72285,0.8729411934195511,8.12131,8.1339895,8.1847075,8.3433325,8.378295,8.725802999999999,8.81268,0.27411148821008974,2.97004,2.970304,2.97136,3.1618199999999996,3.166055,3.6140509999999995,3.72605,0.3257772884195581,5.38514,5.768327,7.301075,7.3603325,8.0012775,8.1379755,8.17215,1.1442425814348767,5.44589,5.7030425000000005,6.7316525,6.7773924999999995,7.215675,7.302183,7.32381,0.771336211790131,-
6,0.049924357034795766,2.0681508049103936,-3988.06,-3972.92,-3966.6,-3964.3721212121213,-3962.35,-3953.422,-3943.22,7.0443451456300945,-11.5252,-9.268336,-4.28421,-3.0956441442424234,-0.591211,0.9067265999999998,1.05476,3.225775811983017,0.323862,0.37191979999999997,0.525304,0.5707413939393939,0.632647,0.7030533999999999,0.736946,0.09738940608366838,6.3829,6.482666,6.74003,6.998727878787879,7.24841,7.617206,7.68877,0.3671586926967318,3.80696,3.870944,4.31,4.997377878787879,5.39338,7.064075999999999,7.40511,0.9767926592642218,2.46166,2.483206,3.10337,4.27089909090909,5.82298,6.138244,6.72927,1.3879105972961847,3.36113,3.9076779999999998,5.72106,7.623574848484849,7.69477,12.9708,13.0391,2.605099146793645,1.80248,1.909228,4.74801,6.449417272727273,6.90202,11.316,11.4839,2.582622385557647,-
2,0.08774583963691376,2.1572836333661187,-3989.73,-3977.155,-3963.455,-3960.5931034482765,-3955.795,-3950.388,-3937.86,9.183413122336667,-17.9539,-15.933774999999999,-4.07563,-2.1967769534482757,0.67145225,4.173307999999999,10.185,5.6974654957177915,0.304014,0.3431029,0.4028195,0.4745534827586207,0.5363325,0.60820045,0.630753,0.08688713058196215,4.2938,5.1326245,6.0224975,6.288721206896551,6.59637,7.264499499999999,7.49181,0.63383258511376,3.4203,3.9053020000000003,5.0307525,5.893652413793103,6.6710975,8.480846999999999,8.62843,1.2478066657087854,1.92552,1.9639389999999999,3.04297,3.5909665517241374,3.6242125,6.342395499999999,6.63114,1.2386599109779777,3.49542,3.5498765,7.1818775,6.988570344827586,7.66544,7.979261,8.22175,1.3609881725561805,1.52884,1.5382939999999998,5.9474599999999995,5.926699310344827,6.772815,7.224672,7.41557,1.6974518653018604,B
