Step,numberOfAcceptedPeleSteps,currentEnergy,bindingEnergy,ligandSASA,ligandRMSD,L1_C8-H38_OG,H38_HG-H175_ND1,H175_HE2-H40_OE2,H175_HE2-H40_OE1,epoch,trajectory,Cluster
0,0,-3808.91,51.1948,0.403644,0.271224,7.00542,2.06031,1.74183,3.82752,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,-
1,1,-3915.29,-2.51174,0.477571,2.14811,8.56412,6.31302,5.76987,6.29581,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
2,2,-3966.13,1.45754,0.51902,3.42497,8.48751,6.26062,5.81842,6.25025,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,26
3,3,-3971.83,-4.15919,0.502343,2.62203,8.52122,6.10172,5.61119,6.11397,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
5,4,-3984.28,-2.02199,0.501418,4.52075,8.69618,4.24187,11.5305,10.295,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,25
7,5,-3983.43,0.426364,0.470278,1.32367,7.52108,6.27922,5.90006,6.20828,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
11,6,-3986.34,-2.78497,0.571098,2.47156,7.94492,6.17139,5.80475,6.21535,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
13,7,-3992.98,-2.4333,0.579488,2.1718,7.48238,6.07128,5.53886,6.0562,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,9
0,0,-3808.91,51.1948,0.403644,0.271224,7.00542,2.06031,1.74183,3.82752,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,-
1,1,-3940.85,-1.91553,0.427503,2.20229,8.95468,3.53716,9.13838,8.30539,0,/dataweb/user_files/mmunicoy/ifr/FraCm2__MHET/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
