Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,bindingEnergy min,bindingEnergy 5-percentile,bindingEnergy 25-percentile,bindingEnergy mean,bindingEnergy 75-percentile,bindingEnergy 95-percentile,bindingEnergy max,bindingEnergy standard deviation,ligandSASA min,ligandSASA 5-percentile,ligandSASA 25-percentile,ligandSASA mean,ligandSASA 75-percentile,ligandSASA 95-percentile,ligandSASA max,ligandSASA standard deviation,ligandRMSD min,ligandRMSD 5-percentile,ligandRMSD 25-percentile,ligandRMSD mean,ligandRMSD 75-percentile,ligandRMSD 95-percentile,ligandRMSD max,ligandRMSD standard deviation,L1_C2-H38_OG min,L1_C2-H38_OG 5-percentile,L1_C2-H38_OG 25-percentile,L1_C2-H38_OG mean,L1_C2-H38_OG 75-percentile,L1_C2-H38_OG 95-percentile,L1_C2-H38_OG max,L1_C2-H38_OG standard deviation,H38_HG-H175_ND1 min,H38_HG-H175_ND1 5-percentile,H38_HG-H175_ND1 25-percentile,H38_HG-H175_ND1 mean,H38_HG-H175_ND1 75-percentile,H38_HG-H175_ND1 95-percentile,H38_HG-H175_ND1 max,H38_HG-H175_ND1 standard deviation,H175_HE2-H40_OE2 min,H175_HE2-H40_OE2 5-percentile,H175_HE2-H40_OE2 25-percentile,H175_HE2-H40_OE2 mean,H175_HE2-H40_OE2 75-percentile,H175_HE2-H40_OE2 95-percentile,H175_HE2-H40_OE2 max,H175_HE2-H40_OE2 standard deviation,H175_HE2-H40_OE1 min,H175_HE2-H40_OE1 5-percentile,H175_HE2-H40_OE1 25-percentile,H175_HE2-H40_OE1 mean,H175_HE2-H40_OE1 75-percentile,H175_HE2-H40_OE1 95-percentile,H175_HE2-H40_OE1 max,H175_HE2-H40_OE1 standard deviation,Selected labels
1,0.16812227074235808,2.2818465809386375,-3897.19,-3882.15,-3874.035,-3870.724090909091,-3866.8125,-3861.8720000000003,-3857.72,6.628588772025217,-13.2892,-11.16196,-8.7700975,-7.146835012987013,-5.540635,-3.748524,1.35696,2.343026237877536,0.359474,0.4191257,0.48602825,0.5503475324675325,0.6108782500000001,0.6782796,0.762009,0.07782442513086907,3.46451,4.1670865,4.808225,5.308541688311688,5.8295625,6.345759999999999,6.82372,0.6711285691347358,3.02034,3.506844,3.944245,4.677844870129871,5.31334,6.286709,7.00776,0.9049332565875949,1.9274,2.24595,4.5489775,4.94264012987013,5.8189075,6.654725,6.80231,1.24302744095672,1.45624,2.5544210000000005,3.3016475,3.62229051948052,3.6441475,6.615034,8.46296,1.0443342327274747,1.3091,1.4637495,1.5281825,2.082243961038961,1.5810775,7.051317,7.48269,1.5050699582525424,-
4,0.08406113537117904,2.0135411936335013,-3891.2,-3888.6279999999997,-3879.15,-3872.2016883116885,-3867.34,-3845.824,-3829.08,12.486243485147279,-15.2028,-14.69526,-13.0122,-10.634997948051945,-8.42771,-6.287652,-0.272792,3.1838544114809975,0.155988,0.2617858,0.305818,0.3427981558441558,0.382207,0.4306958,0.465984,0.057844461883564006,2.42625,3.227954,4.02046,4.235033506493506,4.50965,5.045050000000001,5.19245,0.5191862425582273,3.66168,3.85155,5.09335,6.027023506493507,7.06605,8.103788000000002,8.86217,1.3251824761031294,1.90052,1.912104,3.1067,4.542357012987012,5.52776,6.2025760000000005,6.69327,1.5076604402272227,1.50192,1.535552,1.58918,3.295268701298702,3.7032,5.485858,5.54547,1.1928633095904764,1.4676,1.503454,1.5268,2.4157327272727276,3.59768,4.461966,4.54109,1.153646928341502,-
0,0.1812227074235808,2.1606969857922964,-3894.36,-3882.44,-3876.3175,-3868.793192771084,-3864.85,-3844.88,-3805.74,13.039447658083526,-16.0535,-14.378425,-11.9235,-9.727391477409638,-7.98033,-4.7443225,3.00746,3.2416502876330275,0.212861,0.24401025,0.294002,0.3519832168674699,0.39802350000000003,0.48984675,0.629825,0.07673176300131725,1.29068,1.841955,2.77087,3.6214183132530122,4.4513175,5.37678,5.89868,1.0724105843652423,3.30728,4.3934425,5.69873,6.155493493975904,6.7154125,8.1368175,8.88074,1.040616581131757,1.60558,2.0784325,4.8059375,4.8920387951807225,5.48516,6.6512075,6.94589,1.1324332170823852,1.50562,1.5471675,3.565995,3.4188342168674697,3.7074,3.73755,5.51768,0.790767755817885,1.39778,1.517295,1.5304125,1.9050005421686749,1.553195,3.74232,4.51405,0.8402594526242504,A
2,0.13973799126637554,2.1343316932076704,-3893.56,-3885.8165000000004,-3875.1225,-3871.6765625,-3867.91,-3860.8965,-3853.06,6.974847157543585,-18.5617,-13.81902,-9.7208525,-8.133610390624998,-6.1442525,-4.426537000000002,2.21791,3.104578772762096,0.213585,0.25642745,0.386025,0.463102453125,0.54623525,0.6322942999999999,0.744864,0.11178500633986677,2.99889,3.7229605,4.4086175,4.870192343749999,5.383065,5.9605049999999995,6.55418,0.6871858197881736,3.44194,3.8070115,4.4508975,5.1870379687499995,5.85275,7.227447999999998,8.88531,1.0651139315998366,2.23388,4.112065,4.9696225,5.3067959375000004,5.5384199999999995,6.6435755,6.79394,0.8425781297910871,1.50199,1.530698,3.326215,3.18568921875,3.6965175,3.7141865,3.74577,0.8390213697103547,1.42609,1.493336,1.5276,1.95215015625,1.5906725000000002,3.660197,3.69055,0.8235020992449946,B
7,0.07532751091703056,2.580875702512161,-3894.66,-3879.734,-3872.01,-3868.1837681159427,-3863.3,-3856.022,-3846.31,8.313737906334017,-9.90111,-8.861184,-6.64685,-5.31916220289855,-4.33223,-2.0537660000000026,5.95479,2.6462131614886006,0.390113,0.44532740000000004,0.491209,0.5458967826086957,0.598179,0.6661931999999999,0.715647,0.06884241607813078,2.38207,2.937306,4.09939,4.7058039130434794,5.49171,5.886906,6.24652,0.9381579612602521,3.00316,3.47521,4.09186,4.65926420289855,4.97853,6.402391999999998,8.09316,0.9099936914630923,1.90622,2.543818,4.62772,5.247864057971014,6.09758,6.6948,6.80066,1.174394462193138,1.53497,2.1474060000000006,3.41901,5.257780144927536,6.64046,11.13468,12.0426,2.816377371476299,1.45043,1.499738,1.53566,4.078510869565218,7.09726,9.030432,12.1216,3.05397769286802,-
9,0.02292576419213974,2.3149880458934056,-3886.55,-3885.94,-3869.63,-3864.4333333333343,-3855.95,-3839.01,-3831.5,14.047367600655205,-9.12895,-9.11241,-6.30549,-3.7953890476190475,-2.72788,3.34843,9.93849,4.459765205772401,0.217229,0.228472,0.378073,0.4226925238095237,0.46841,0.585768,0.603744,0.10413329751750147,2.52883,2.71344,3.26022,3.8912038095238093,4.61618,5.16882,5.49983,0.8363068833381805,5.37592,5.83609,7.01214,7.701721904761903,8.51859,9.66867,9.95738,1.2471087510551262,2.79676,2.86364,4.56891,5.030557619047619,6.0237,6.61777,6.61997,1.1757186886484319,3.29347,3.65594,3.79885,5.940882857142857,8.00766,8.43092,8.44234,1.8862112527703652,1.46467,1.4653,1.73799,5.025931428571428,7.6291,7.92384,8.12205,2.655486610905421,-
3,0.09170305676855896,2.004845124702942,-3897.79,-3891.985,-3878.8900000000003,-3869.9945238095243,-3864.315,-3840.8195,-3808.6,15.671610851409142,-16.5203,-15.092035,-12.49735,-8.73520761904762,-5.9455675,1.919245999999995,7.46209,4.9041029769427364,0.18255,0.23660605,0.294625,0.34166369047619044,0.38528375000000004,0.5002281999999999,0.527907,0.07391639784387304,2.26977,3.0847625,3.7433725,4.001035714285715,4.3425775,4.497757,4.88947,0.4599753759850467,4.77664,5.3375805000000005,6.6370525,7.133904404761905,7.7073475,8.9524215,10.0519,1.0222402662352628,1.70995,1.9193034999999998,2.888525,4.442339047619048,5.7937125,6.991003,7.07667,1.614058961439716,1.47953,1.5448775000000001,3.450805,4.006327380952381,5.3380225,6.1698435,8.34507,1.5080445262389737,1.31978,1.4621965000000001,1.52664,2.8939546428571425,4.19828,5.3448465,7.82865,1.6590289705049979,C
8,0.03820960698689956,2.2331880331847938,-3888.57,-3886.217,-3879.33,-3874.201428571429,-3870.225,-3853.493,-3852.25,8.85753598205896,-16.6144,-12.64251,-8.869905,-6.832877142857144,-4.509,-2.919742000000001,-1.59742,3.293997905738402,0.267222,0.3011001,0.35535300000000003,0.4283282,0.501456,0.5555754,0.611892,0.08809161403084859,3.43488,3.570082,4.354335,4.782051714285714,5.2392,5.6585980000000005,5.72118,0.6007566143098728,4.97046,5.129095,6.00107,6.980056285714285,7.73443,9.393488,9.67914,1.2941965073844868,2.75856,2.813528,4.6344449999999995,4.891470571428571,5.916035,6.074296999999999,6.35964,1.126508977025782,3.1101,3.392558,4.44078,6.190434285714287,8.476975,8.609594,8.66372,2.0232814694017462,1.44244,1.501144,2.80377,5.295307428571428,7.814120000000001,7.879117,7.96085,2.5656645723502884,E
6,0.07205240174672489,2.500692832713672,-3890.87,-3889.4225,-3884.945,-3876.5215151515154,-3871.1925,-3863.105,-3847.03,9.147042284410857,-15.8536,-12.5548,-9.5261825,-8.052765454545453,-6.215797500000001,-4.1530425,-3.41289,2.647784742014729,0.289271,0.3169075,0.37584924999999997,0.44990892424242424,0.5222610000000001,0.5811649999999999,0.692279,0.08854790828464086,2.96122,3.98265,4.58916,5.016965454545455,5.591175,5.8973375,6.29035,0.6630746780036483,6.83675,7.545185,8.4143225,9.114311969696969,9.9570925,10.81715,11.5569,1.053870200618739,2.71074,2.8027075000000004,4.92571,5.12578696969697,5.5207325,6.692337500000001,6.71713,1.0754210493315457,1.50115,1.5099575,1.53331,2.1405654545454547,3.2833725,3.7067975000000004,3.74043,0.9160612505742076,1.49821,1.5209875,1.566125,3.0114957575757573,3.670605,3.6926175,3.80239,0.9696131164355297,D
5,0.07969432314410481,2.255017697564156,-3899.01,-3894.108,-3885.56,-3875.6586301369857,-3869.02,-3854.236,-3813.66,13.900896818912463,-13.1691,-12.20328,-9.60332,-7.520179345205479,-5.51684,-3.3875320000000038,1.63324,2.8884152289564473,0.292608,0.335057,0.389167,0.4568199863013699,0.513021,0.6417065999999999,0.702861,0.09519165652391462,1.43201,1.9087319999999999,3.17437,3.8118538356164384,4.44619,5.48213,5.90023,1.012655723285607,3.70489,4.6138639999999995,5.24452,6.190021369863015,6.84946,7.9689499999999995,8.78089,1.1160046838885296,1.70888,1.850964,2.77859,4.350515205479453,5.19873,6.594957999999998,6.77567,1.449072834288026,1.45926,1.497068,1.54635,2.3028390410958903,3.66813,3.6973599999999998,5.93026,1.0657953515929608,1.50587,1.529228,1.54198,3.0276310958904107,3.66448,3.846606,4.92753,1.032516272485206,-
