Step,numberOfAcceptedPeleSteps,currentEnergy,bindingEnergy,ligandSASA,ligandRMSD,L1_C2-H38_OG,H38_HG-H175_ND1,H175_HE2-H40_OE2,H175_HE2-H40_OE1,epoch,trajectory,Cluster
0,0,-3671.88,28.1094,0.351288,0.669218,4.46404,1.76395,1.65993,3.78698,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,-
1,1,-3808.6,-5.66695,0.362266,3.29127,6.47572,6.97929,3.5739,1.31978,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,3
2,2,-3847.11,-7.2335,0.397897,3.9714,7.01858,6.9946,3.49905,1.40494,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,3
3,3,-3868.62,-10.3776,0.340922,3.96144,6.97204,6.84527,3.53751,1.48634,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,3
4,4,-3871.16,-2.45922,0.299851,4.41938,7.21937,6.89929,3.55482,1.52665,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,3
5,5,-3880.3,-10.4029,0.366899,4.08596,7.32026,6.99307,3.57387,1.55234,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,3
10,6,-3881.86,-8.01613,0.3677,4.35949,6.77806,6.99327,3.58257,1.53559,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,3
11,7,-3882.1,-10.0785,0.440659,4.13673,6.04926,6.90594,3.60401,1.59399,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,3
12,8,-3892.06,-11.8858,0.428947,4.36697,5.72332,7.00038,3.62268,1.56722,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,3
0,0,-3671.88,28.1094,0.351288,0.669218,4.46404,1.76395,1.65993,3.78698,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,-
1,1,-3817.94,-12.5529,0.337857,1.75098,5.41367,1.84143,1.88682,4.11942,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
2,2,-3846.45,-7.93484,0.234457,3.54676,6.24599,1.99905,1.54227,3.71687,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,3
4,3,-3853.37,-10.4057,0.271798,3.12307,5.91634,2.04204,1.58277,3.74478,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
5,4,-3849.61,-14.2594,0.264176,2.76066,6.75475,1.97472,1.58832,3.75402,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
6,5,-3876.28,-14.8226,0.244344,3.97353,6.43846,1.95583,1.5563,3.64274,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
8,6,-3888.27,-14.8134,0.230311,3.62595,6.88646,2.18761,1.53479,3.65446,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
0,0,-3671.88,28.1094,0.351288,0.669218,4.46404,1.76395,1.65993,3.78698,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,-
1,1,-3826.72,-4.57655,0.424915,3.29687,6.03199,4.26182,1.5985,3.6568,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,3
2,2,-3828.35,-3.03853,0.484527,4.15354,7.37979,4.26296,1.59878,3.65627,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,3
4,3,-3835.73,-5.53139,0.527907,3.97114,5.79597,4.25021,1.59149,3.6659,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,3
6,4,-3857.72,-5.9572,0.55274,4.06844,5.26188,4.25991,1.58084,3.65255,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,1
7,5,-3862.55,-5.49161,0.61223,3.51701,4.11274,4.38835,1.54446,3.39946,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,0
8,6,-3863.42,-4.84775,0.592636,3.60471,4.24868,4.4069,1.53341,3.48076,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,2
12,7,-3864.34,-4.89348,0.668678,3.89856,3.80038,4.55103,1.53462,3.51347,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,2
14,8,-3869.62,-8.70066,0.539809,3.97263,3.25931,4.62208,1.54961,3.65484,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_PAE/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,7
