#cluster size degeneracy contacts threshold density metric
0 27 0 2.17 1.7500 1.0 -
1 9 0 2.00 1.7500 1.0 -
2 3 0 1.50 1.7500 1.0 -
3 2 0 1.50 1.7500 1.0 -
4 5 0 1.00 2.5000 1.0 -
5 16 0 2.00 1.7500 1.0 -
6 3 0 1.83 1.7500 1.0 -
7 20 0 2.00 1.7500 1.0 -
8 15 0 2.00 1.7500 1.0 -
9 5 0 1.83 1.7500 1.0 -
10 11 0 1.83 1.7500 1.0 -
11 3 0 2.50 1.7500 1.0 -
12 16 0 1.83 1.7500 1.0 -
13 5 0 2.50 1.7500 1.0 -
14 6 0 2.17 1.7500 1.0 -
15 9 0 1.67 1.7500 1.0 -
16 3 0 2.17 1.7500 1.0 -
17 5 0 1.67 1.7500 1.0 -
18 5 0 1.67 1.7500 1.0 -
19 5 0 1.83 1.7500 1.0 -
20 8 0 2.00 1.7500 1.0 -
21 3 0 1.50 1.7500 1.0 -
22 7 0 2.00 1.7500 1.0 -
23 4 0 1.83 1.7500 1.0 -
24 5 0 2.17 1.7500 1.0 -
25 4 0 1.83 1.7500 1.0 -
26 3 0 1.83 1.7500 1.0 -
27 3 0 2.33 1.7500 1.0 -
28 5 0 1.83 1.7500 1.0 -
29 3 0 2.00 1.7500 1.0 -
30 3 0 1.67 1.7500 1.0 -
31 3 0 1.67 1.7500 1.0 -
32 4 0 2.17 1.7500 1.0 -
33 3 0 2.17 1.7500 1.0 -
34 7 0 2.17 1.7500 1.0 -
35 6 0 2.17 1.7500 1.0 -
36 5 0 2.33 1.7500 1.0 -
37 13 0 2.50 1.7500 1.0 -
38 5 0 2.83 1.7500 1.0 -
39 4 0 1.50 1.7500 1.0 -
40 13 0 1.33 1.7500 1.0 -
41 2 1 1.67 1.7500 1.0 -
42 6 0 1.50 1.7500 1.0 -
43 5 0 1.33 1.7500 1.0 -
44 14 0 0.83 2.5000 1.0 -
45 24 0 1.00 2.5000 1.0 -
46 3 0 1.50 1.7500 1.0 -
47 5 0 2.50 1.7500 1.0 -
48 4 0 2.50 1.7500 1.0 -
49 9 0 2.67 1.7500 1.0 -
50 3 0 2.33 1.7500 1.0 -
51 3 0 1.67 1.7500 1.0 -
52 9 0 1.67 1.7500 1.0 -
53 3 0 1.33 1.7500 1.0 -
54 4 0 1.50 1.7500 1.0 -
55 3 0 1.83 1.7500 1.0 -
56 4 0 1.67 1.7500 1.0 -
57 4 0 2.50 1.7500 1.0 -
58 3 0 2.00 1.7500 1.0 -
59 6 0 1.50 1.7500 1.0 -
60 4 0 2.00 1.7500 1.0 -
61 5 0 1.83 1.7500 1.0 -
62 4 0 1.67 1.7500 1.0 -
63 5 0 1.50 1.7500 1.0 -
64 6 0 1.33 1.7500 1.0 -
65 6 0 1.67 1.7500 1.0 -
66 9 0 1.00 2.5000 1.0 -
67 4 0 1.17 1.7500 1.0 -
68 3 0 1.83 1.7500 1.0 -
69 4 0 1.67 1.7500 1.0 -
70 4 0 1.17 1.7500 1.0 -
71 4 0 1.83 1.7500 1.0 -
72 5 0 1.83 1.7500 1.0 -
73 4 0 1.50 1.7500 1.0 -
74 3 0 1.67 1.7500 1.0 -
75 3 0 2.83 1.7500 1.0 -
76 6 0 2.83 1.7500 1.0 -
77 5 0 2.17 1.7500 1.0 -
78 9 0 2.17 1.7500 1.0 -
79 5 0 2.00 1.7500 1.0 -
80 4 0 1.50 1.7500 1.0 -
81 4 0 1.00 2.5000 1.0 -
82 4 0 2.33 1.7500 1.0 -
83 2 1 2.33 1.7500 1.0 -
84 4 0 2.50 1.7500 1.0 -
85 4 0 1.33 1.7500 1.0 -
86 2 1 2.17 1.7500 1.0 -
87 5 0 1.50 1.7500 1.0 -
88 5 0 1.50 1.7500 1.0 -
89 4 0 1.67 1.7500 1.0 -
90 2 1 1.17 1.7500 1.0 -
91 5 0 1.33 1.7500 1.0 -
92 2 1 2.33 1.7500 1.0 -
93 7 0 0.50 4.0000 1.0 -
94 2 0 1.17 1.7500 1.0 -
95 3 0 2.00 1.7500 1.0 -
96 2 1 1.33 1.7500 1.0 -
97 3 0 1.50 1.7500 1.0 -
98 7 0 1.00 2.5000 1.0 -
99 2 1 2.17 1.7500 1.0 -
100 2 1 1.83 1.7500 1.0 -
101 2 0 1.67 1.7500 1.0 -
102 6 0 2.17 1.7500 1.0 -
103 2 0 2.17 1.7500 1.0 -
104 1 1 2.33 1.7500 1.0 -
105 2 0 2.67 1.7500 1.0 -
106 4 0 2.67 1.7500 1.0 -
107 2 0 1.67 1.7500 1.0 -
108 1 1 2.00 1.7500 1.0 -
109 1 1 1.50 1.7500 1.0 -
110 1 1 2.17 1.7500 1.0 -
111 1 1 3.00 1.7500 1.0 -
112 1 1 2.00 1.7500 1.0 -
113 1 1 1.17 1.7500 1.0 -
114 5 0 1.00 2.5000 1.0 -
