Step,numberOfAcceptedPeleSteps,currentEnergy,bindingEnergy,ligandSASA,ligandRMSD,L1_C3-H38_OG,H38_HG-H175_ND1,H175_HE2-H40_OE2,H175_HE2-H40_OE1,epoch,trajectory,Cluster
0,0,-3418.9,7.17655,0.142111,0.370089,4.56947,1.78561,1.58994,3.70937,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,-
1,1,-3536.5,5.47389,0.148461,1.41674,4.70343,2.11027,1.73766,3.86976,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
2,2,-3534.51,15.6128,0.171811,1.73594,5.42726,1.83559,1.64844,3.80115,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
3,3,-3568.95,-4.79924,0.289295,3.26948,6.28615,1.89987,3.89067,1.83057,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
6,4,-3579.62,-3.61996,0.329165,3.34124,6.63193,1.90364,3.89081,1.82453,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
7,5,-3614.06,-0.507987,0.321108,4.12136,6.04198,1.92155,3.84842,1.86836,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
8,6,-3657.43,-3.96182,0.407532,5.17936,6.94943,1.84662,3.7662,1.77311,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
9,7,-3654.4,-3.62651,0.482269,5.56273,7.61632,1.83583,3.70719,1.67211,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
10,8,-3666.91,-5.24434,0.502943,5.35032,7.83783,1.77216,3.36965,1.5578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
11,9,-3667.05,-3.94973,0.45329,5.01144,7.21916,1.93782,5.64263,4.58299,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_1.xtc,0
0,0,-3418.9,7.17655,0.142111,0.370089,4.56947,1.78561,1.58994,3.70937,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,-
1,1,-3502.98,14.683,0.290941,1.57547,4.91202,3.84533,1.43517,3.65712,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,-
2,2,-3572.55,-6.69393,0.382242,2.13067,4.60258,3.86933,1.43515,3.64099,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
3,3,-3576.8,-8.09802,0.345917,2.48126,3.87022,3.87635,1.44133,3.57321,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
4,4,-3584.92,-5.6171,0.368065,2.6115,4.57234,3.89676,1.49353,3.62503,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
6,5,-3587.58,-6.20676,0.330883,2.37892,3.55448,3.86536,1.54627,3.69457,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
8,6,-3590.08,-7.91333,0.37742,3.30728,3.60257,3.801,1.5461,3.6921,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
10,7,-3590.6,-6.6911,0.420743,3.44899,3.77888,3.83013,1.55759,3.6683,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
0,0,-3418.9,7.17655,0.142111,0.370089,4.56947,1.78561,1.58994,3.70937,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_VIN/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,-
